"source_external_id","name","district","address","latitude","longitude","opening_hours","area_sqm","website","image_url"
"H0167","Kletterhalle Dellbrück","Mülheim","Waltherstraße 49, 51069 Mülheim","50.9847712654527","7.07398493936189","","","http://kletterhalle-dellbrueck.de/",""
"H0168","Canyon Chorweiler","Chorweiler","Weichselring 6A, 50765 Chorweiler","51.0314515894717","6.89453903080628","","","http://www.canyon-chorweiler.de/",""
"H0169","Bergstation Kletter- und Boulderhalle","Hilden","Bahnhofsallee 35, 40721 Hilden","51.171680076902","6.92241575476599","","","http://bergstation.nrw/",""
"H0170","Monkeyspot Boulderhalle","Düsseldorf","Schiessstraße 52, 40549 Düsseldorf","51.241625294514","6.72298579048925","","","https://monkeyspot.de/startseite-duesseldorf/",""
"H0171","Monkeyspot Boulderhalle","Mönchengladbach","Ohlerkirchweg 39, 41069 Mönchengladbach","51.1872936704856","6.42964094010586","","","https://monkeyspot.de/startseite-moenchengladbach",""
"H0172","Monkeyspot Boulderhalle","Duisburg Süd","Neuenhofstraße 91, 47055 Duisburg Süd","51.3943899704544","6.75002670865203","","","https://monkeyspot.de/startseite-duisburg/",""
"H0173","Stuntwerk Duisburg","Duisburg","Neudorfer Str. 109-113, 47057 Duisburg","51.4287375013721","6.7793516838421","","","https://stuntwerk.de/duisburg/",""
"H0174","einstein Klettern","Duisburg","Essenberger Str. 85, 47059 Duisburg","51.43396428132","6.74281997303474","","","https://duisburg.einstein-boulder.com/",""
"H0175","Kletterzentrum Neoliet Mühlheim","Mühlheim an der Ruhr","Ruhrorter Str. 51, 45478 Mühlheim an der Ruhr","51.4349608699381","6.83697092437809","","","https://www.neoliet.de/neoliet-muelheim/",""
"H0176","Neoliet Boulderbar Essen","Essen","Münchener Str. 106a, 45145 Essen","51.4515468443425","6.98714136203427","","","https://www.neoliet.de/boulderbar-essen/",""
